#z Image_ID mu bayes.sfh.sfr bayes.sfh.sfr_err bayes.stellar.m_star bayes.stellar.m_star_err Av Cluster total_rel_err_best cc_rate ia_rate lsst_II lsst_IIb lsst_IIn lsst_Ia lsst_Ib lsst_Ic lsst_Ic-BL roman_wide_IIP roman_wide_IIn roman_wide_IIL roman_wide_IIb roman_wide_Ib roman_wide_Ic roman_wide_Ic-BL roman_wide_Ia roman_deep_IIP roman_deep_IIn roman_deep_IIL roman_deep_IIb roman_deep_Ib roman_deep_Ic roman_deep_Ic-BL roman_deep_Ia cc_rate_err ia_rate_err lsst_II_err lsst_IIb_err lsst_IIn_err lsst_Ia_err lsst_Ib_err lsst_Ic_err lsst_Ic-BL_err roman_deep_IIL_err roman_deep_IIP_err roman_deep_IIb_err roman_deep_IIn_err roman_deep_Ia_err roman_deep_Ib_err roman_deep_Ic_err roman_deep_Ic-BL_err roman_wide_IIL_err roman_wide_IIP_err roman_wide_IIb_err roman_wide_IIn_err roman_wide_Ia_err roman_wide_Ib_err roman_wide_Ic_err roman_wide_Ic-BL_err
1.962 16.3 3.80153 33.2793119296992 11.673256962528582 11784133124.276815 4939284633.895843 2.352599004349736 MACS0416 0.1575783084676838 1.0570118835973252 0.5695844998229845 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0029044170680195313 0.026506549106473612 0.027014552568757184 0.0 0.028786614441179754 0.030599324153585454 0.004738643176661514 0.5724655311457951 0.2583309581531882 0.10848194980817585 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.006602286461923346 0.0007098319855255198 0.001944522989548417 0.006478131735573223 0.10903066539902158 0.007035373779590671 0.007478395323743667 0.0011581120810174152 0.0 0.0 0.0 0.0009551581246063386 0.0 6.998915853841633e-05 0.0004474075053312217 1.0884196616240105e-05
2.221044 17.1 13.899279 6.219279200439797 0.3109639600219899 108121051.02455898 11259971.560829692 0.33923658069115814 MACS0416 0.10414226881934457 0.05659544072400216 0.030400466907923654 0.0003506275482920708 0.0 0.0004857335156701958 5.756589692504139e-05 0.0 1.5023083997764119e-06 1.0555159554591596e-05 0.017030688398371616 0.0022436918790413917 0.0035521028378868716 0.002601146621212176 0.0033064487304504853 0.002574210227484705 0.00036648973395047695 0.02810964074374379 0.02747791377345845 0.002458141928503328 0.004134124761735185 0.005654820959898554 0.005603435043366048 0.003916726787087437 0.0005738502179448658 0.02810964074374379 0.010944915412231235 0.003628765066637532 6.78073853328474e-05 0.0 9.393534485970241e-05 6.871378535860602e-06 0.0 2.9052938095884397e-07 2.0412479699732242e-06 0.0007994927725973633 0.005313916423439757 0.0010935781449114804 0.0004753767288416542 0.0033553195967540267 0.0010836406923069328 0.000757450473555757 0.00011097611423022897 0.0006869363432614877 0.0032935416978419796 0.0005030322121319657 0.0004339045250477844 0.0033553195967540267 0.0006394296290780935 0.000497823019534713 7.087495187289794e-05
2.22044 17.3 5.700582 18.64686274470807 19.259568285440942 3342740016.8671384 1200149953.1333215 1.2515256090508844 MACS0416 0.10414226881934457 0.05659544072400216 0.030400466907923654 0.0 0.0 3.6949408804895355e-06 0.0 0.0 0.0 0.0 0.0 0.0006740399181347996 0.00027857152226534054 0.0 0.00016244100572627035 0.00016117948521202674 2.9726601608556734e-05 0.007251963796775006 0.01003931545069037 0.002066062831460179 0.0031693087968301774 0.0024214838002802248 0.0036380587471952935 0.0029748649256321484 0.00038422236920119 0.028114912763408564 0.010944915412231235 0.003628765066637532 0.0 0.0 7.145595983141128e-07 0.0 0.0 0.0 0.0 0.0006129083235822477 0.0019414895793524985 0.00046828746321460096 0.0003995530847963956 0.0033559488936937107 0.0007035592398151162 0.0005753050874299289 7.430424211911194e-05 5.3872568327886246e-05 0.0 0.0 0.000130351664269732 0.0008656338394394278 3.1414245465850555e-05 3.1170281727030595e-05 5.748787109643747e-06
2.2199 18.1 21.088882 0.8677324120515398 0.700581140443397 108780049.8478549 50218063.2983246 1.5395756703971806 MACS0416 0.06593305049612434 0.10311451806466126 0.0553871823938394 0.0 0.0 1.481085787555892e-05 0.0 0.0 0.0 0.0 0.0008798684333267182 0.0026402823222077846 0.0015849714538794324 0.0 0.0009445081237377728 0.0008667325932768479 0.00015271680676837154 0.04305792120337502 0.041206186654833256 0.004401486928040862 0.007168137935974772 0.008938638264473962 0.009799746929277101 0.006756207911476886 0.000977125485490873 0.0512316787882204 0.019941176595733724 0.006611453225725776 0.0 0.0 2.864251688066154e-06 0.0 0.0 0.0 0.0 0.0013862364594888117 0.007968808469875435 0.0017286311132781768 0.0008511975788010455 0.006115419368604699 0.0018951597483845143 0.0013065738715451222 0.00018896497048210832 0.00030651547671674034 0.00017015656126111273 0.0 0.0005106006121923907 0.005139734857947277 0.00018265714319441612 0.00016761623899530417 2.9533695837039684e-05
2.218004 18.2 29.0567 0.47466492779531116 0.3033505983870686 48560736.32492518 18300058.20480918 1.610457368391318 MACS0416 0.06593305049612434 0.10311451806466126 0.0553871823938394 0.0 0.0 2.1512802127352732e-05 0.0 0.0 0.0 0.0 0.0027361910051577026 0.002692877181626408 0.0025727370275769102 0.0002744930449259824 0.0015844748662032424 0.0015219205241619402 0.0002034579190950705 0.04192061505392838 0.042799914135587404 0.0044211539167000906 0.0073812620505134315 0.009492241239078708 0.009889216819339132 0.007069701187254309 0.0010286438828851524 0.051258462322099095 0.019941176595733724 0.006611453225725776 0.0 0.0 4.160331584167464e-06 0.0 0.0 0.0 0.0 0.0014274522425287883 0.008277017262736813 0.0018356916406191866 0.0008550009510256442 0.006118616463560704 0.0019124622089033046 0.0013671999103530858 0.0001989280433805754 0.0004975381194054826 0.0005291482621224348 5.308383713472063e-05 0.0005207718606196671 0.0050039769788602 0.0003064194423005202 0.0002943221430560694 3.934645063201589e-05
2.217 18.3 4.034839 11.331265721391347 0.5665632860695674 194432775.64297578 12819546.014569938 0.6845013024474927 MACS0416 0.06593305049612434 0.10311451806466126 0.0553871823938394 0.0 0.0 9.355678884041788e-05 0.0 0.0 0.0 1.2218528715436735e-06 0.0014117451623678605 0.002116150834603584 0.001974303456605279 0.0 0.0010431821381499224 0.001240129097639537 0.0001676301467152636 0.03184022473024034 0.026076721299760592 0.004010949863819325 0.006370154771573547 0.0046583211198555205 0.007540721066091486 0.00575292240625337 0.0008419774642153239 0.05127786214802327 0.019941176595733724 0.006611453225725776 0.0 0.0 1.8092820322611006e-05 0.0 0.0 0.0 2.3629246727582803e-07 0.0012319155791665213 0.0050429417140869905 0.0009008663943172759 0.00077567214638873 0.006120932180593804 0.0014582898049700906 0.0011125498503781297 0.00016282887820914918 0.00038180786392314994 0.00027301547948172303 0.0 0.00040923953569348424 0.0038007016678284 0.00020173957681999692 0.00023982688181726656 3.241776639368717e-05
1.89568 2.1 7.331861 37.68992368950285 29.345580895925334 5800984100.077717 4667158892.314003 0.987002027709005 MACS0416 0.22055175599853877 0.6398113249752644 0.3437431641055287 8.356437538905623e-07 0.0 0.000636055015326576 0.0 0.0 0.0 1.4740033628902936e-06 0.020145082913950906 0.019614278027148963 0.022131600449365633 0.0016852554491346556 0.020443279208589515 0.014836051045101765 0.002465144074916371 0.35311487536435987 0.28270637908695945 0.029879572844313765 0.049958496474044 0.06448512156663039 0.06736882139086792 0.047084435171318904 0.006584632521426715 0.35355355011260775 0.12668257145179104 0.04353600279179069 1.6545737067810852e-07 0.0 0.0001259388225575629 0.0 0.0 0.0 2.918525025275992e-07 0.009891776766286232 0.05597583173437179 0.012768046925017953 0.005916152112413944 0.0447785147518587 0.013339019170693054 0.009322712946802612 0.0013037565096423952 0.0043820544367163955 0.003988724184817305 0.0003336803921965198 0.0038836248760455395 0.04472295540680493 0.004047767018114566 0.002937536463044298 0.0004880982536869381
1.89568 2.2 3.956539 70.30893681046861 4.6130321698171395 1363846503.0941563 300798741.1698827 1.350023553947037 MACS0416 0.22055175599853877 0.6398113249752644 0.3437431641055287 0.0 0.0 7.487086485629141e-05 0.0 0.0 0.0 0.0 4.8611315828953755e-05 0.007248101110133748 0.002218213569331563 0.0 0.0015869585482756875 0.005749346865541851 0.0003411449735539973 0.06925834903828149 0.12964917710524781 0.02562046324244402 0.04027683440125928 0.029377441765209313 0.05007709766757619 0.03758808998703762 0.00490383423611359 0.35355355011260775 0.12668257145179104 0.04353600279179069 0.0 0.0 1.4824422945594499e-05 0.0 0.0 0.0 0.0 0.007974808748636552 0.025670522701261106 0.005816730214389124 0.005072848883167832 0.0447785147518587 0.009915259789464184 0.007442437652542864 0.0009709586353886692 0.0004392060409419014 9.625035147830647e-06 0.0 0.0014351232166917695 0.008771757497873513 0.00031421761671808127 0.0011383700423297364 6.754666696364656e-05
2.09568 27.1 10.518188 2.9048925341917826 0.43486295709651235 67269656.90180363 23475744.915040668 1.2850789716169784 MACS0416 0.348979703424223 0.026434522061145223 0.014207223226972139 0.0 0.0 1.0482535203677613e-05 0.0 0.0 0.0 2.022301282517659e-07 0.0005088468697459751 0.0005357486735908798 0.0005782821462257557 7.461212327255328e-05 0.00030452645985277007 0.00033998654905523706 6.058872957768494e-05 0.010364780294816881 0.009961752304148884 0.0010916970069643948 0.0018754842251037024 0.0022357095466586587 0.002482510495201839 0.0018051601359857761 0.0002495131267379216 0.01366862540364905 0.00632825634958815 0.0026218164631548043 0.0 0.0 2.509452215894547e-06 0.0 0.0 0.0 4.84126056914161e-08 0.00044897898772718476 0.0023847801040600114 0.0005352146371987238 0.00026134531580214665 0.0025224230336543117 0.0005942972136149018 0.0004321438483416445 5.9731854615435366e-05 0.00013843706556304806 0.00012181470226659042 1.7861667472694737e-05 0.00012825482290138422 0.001912727855387184 7.290169645296795e-05 8.139061613660802e-05 1.4504556268374354e-05
2.097556 27.2 21.854794 6.28969899639264 2.2573452689818745 683984518.5367541 347557816.7502828 2.602463799457093 MACS0416 0.348979703424223 0.026434522061145223 0.014207223226972139 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4.87757908159827e-05 0.0 0.0 0.0 0.0 0.0 0.0 0.0069914164994825286 0.0010870823817899736 0.0018036516468758078 0.001903954045732008 0.002224199573394692 0.0017462195246420197 0.00024324621301145252 0.013658535662206105 0.00632825634958815 0.0026218164631548043 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0004317827256488884 0.0016737006159266612 0.0004557944816009147 0.00026024060390331024 0.0025205610617684993 0.0005324592228499112 0.0004180338410896892 5.823159535256255e-05 0.00015406957840325553 0.0001507759474955621 4.393302427378487e-06 1.1676613907505375e-05 0.0016273964225295106 7.322694671589057e-05 6.724897538226217e-05 1.3690088746789356e-05
