#z bayes.stellar.m_star bayes.stellar.m_star_err bayes.sfh.sfr bayes.sfh.sfr_err Av mu Image_ID Cluster total_rel_err_best cc_rate ia_rate lsst_II lsst_IIb lsst_IIn lsst_Ia lsst_Ib lsst_Ic lsst_Ic-BL roman_wide_IIP roman_wide_IIn roman_wide_IIL roman_wide_IIb roman_wide_Ib roman_wide_Ic roman_wide_Ic-BL roman_wide_Ia roman_deep_IIP roman_deep_IIn roman_deep_IIL roman_deep_IIb roman_deep_Ib roman_deep_Ic roman_deep_Ic-BL roman_deep_Ia cc_rate_err ia_rate_err lsst_II_err lsst_IIb_err lsst_IIn_err lsst_Ia_err lsst_Ib_err lsst_Ic_err lsst_Ic-BL_err roman_deep_IIL_err roman_deep_IIP_err roman_deep_IIb_err roman_deep_IIn_err roman_deep_Ia_err roman_deep_Ib_err roman_deep_Ic_err roman_deep_Ic-BL_err roman_wide_IIL_err roman_wide_IIP_err roman_wide_IIb_err roman_wide_IIn_err roman_wide_Ia_err roman_wide_Ib_err roman_wide_Ic_err roman_wide_Ic-BL_err
5.284 71787501.034755 6392884.386457059 1.0432937417127983 0.12429674584525988 0.259632183581077 5.6740752 22.3 A2744 0.11913878218151598 0.009493973049586464 0.0051247264350406515 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.4294401791004958e-05 5.9226577962989105e-05 2.0100195920270144e-05 0.0 0.0 0.0 2.596587639694897e-06 0.0 0.0005079930272519538 0.0001503708953551057 0.00016872746400255366 1.908401243588176e-05 1.327377461353037e-05 2.1794108422218413e-05 8.291685661305403e-06 0.0008732432555533084 0.002103578564953584 0.0008207915986904285 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.738492565135408e-05 0.00011255595920610266 4.228442537571466e-06 3.331766275402023e-05 0.00013986126612933024 2.9410687819746616e-06 4.828918207351554e-06 1.8371878804959084e-06 4.4535982005014726e-06 3.1672090334932967e-06 0.0 1.3122826368663745e-05 0.0 0.0 0.0 5.753256378922966e-07
3.054 565754071.4613724 54040518.78062507 20.73373817642868 2.46047895331639 1.296060860436448 8.1242422 26.1 A2744 0.11867030114779811 0.188677017405501 0.10144428369827295 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0007663535387942356 0.00018551194916346573 0.0 0.0 0.0 5.5571968797124175e-06 0.0 0.01018770364284787 0.004426974361356528 0.005926989991217492 0.0020751477163148627 0.00508572003733609 0.004121139020961936 0.0005950664764044404 0.07452732514600083 0.04175768408435217 0.01627662417882119 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0013117515796450224 0.0022547256476328098 0.0004592682455860916 0.0009797706120918512 0.011957827668853827 0.001125563110869636 0.0009120836425730334 0.0001316991241041356 4.105719643846005e-05 0.0 0.0 0.00016960809223053784 0.0 0.0 0.0 1.2299095824630783e-06
3.054 83489551.67772862 6997648.110407511 1.5285326203952792 0.1877709341336906 0.3161461809644539 3.6326701 26.3 A2744 0.11867030114779811 0.188677017405501 0.10144428369827295 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.003678270717210447 0.0031235593651060324 0.002294805537807238 0.00010016033902360932 0.00018546788556384651 0.00027554816662867275 0.00013486115153120453 0.013238280295041958 0.027103723403612653 0.005596084344352219 0.008466582294126541 0.004451880963144185 0.008506825558658141 0.006229682973132008 0.0009128247389255003 0.07452732514600084 0.04175768408435217 0.01627662417882119 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0018738099296560001 0.005998551042204049 0.0009852828998276096 0.0012385160915419258 0.011957827668853827 0.0018827165021148063 0.0013787430876047425 0.00020202485494304271 0.0005078825497693217 0.0008140687652269359 2.2167319858256065e-05 0.0006913009701997468 0.00212406756971325 4.104744435578555e-05 6.09838625303978e-05 2.984724604157218e-05
3.0537 0 0 0 0 1.296060860436448 8.041 26.2 A2744 0.11867030114779811 0.188677017405501 0.10144428369827295 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0007522698729228183 0.00017963243292034876 0.0 0.0 0.0 5.590219213747886e-06 0.0 0.010001937380323914 0.004389003188235317 0.005871870536167897 0.0020335300991829227 0.005032694799010131 0.00407388731039417 0.0005932381280509745 0.07453284064974897 0.04175768408435217 0.01627662417882119 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0012995526334113325 0.002213612166983841 0.0004500575036926891 0.0009713668951298641 0.011958712625387528 0.0011138276532025575 0.0009016259724791003 0.0001312944770835815 3.975595166988689e-05 0.0 0.0 0.0001664911186939874 0.0 0.0 0.0 1.2372180305790323e-06
1.887 592533476.8676102 48178069.220089525 5.786305418327998 0.9362260140603731 0.9595297588813584 9.6743922 30.3 A2744 0.1618003106256537 0.05265537930678478 0.02851329104166093 4.293507303752428e-06 0.0 0.00011672589714663322 0.0 0.0 0.0 1.4268569579000802e-06 0.005318197746934162 0.001876241675323252 0.002685695916324578 0.001457407889841186 0.0021470029327419734 0.0020923653654113627 0.00029497295768532124 0.029415230904976074 0.025541629856319636 0.0025075840875602175 0.004241805602696482 0.005638223213372113 0.005656563346917195 0.004017262728108315 0.0005749106455777438 0.029415230904976074 0.013013285350027883 0.005502752804060709 1.0611002414516812e-06 0.0 2.8847715604840735e-05 0.0 0.0 0.0 3.5263437451743727e-07 0.001048322648776811 0.006312375335643076 0.0013934342228412793 0.0006197259938151411 0.0056768173168067065 0.001397966815604295 0.0009928289738892614 0.0001420837980879936 0.0006637446692560996 0.0013143429169033087 0.00036018475209125656 0.0004636956115032633 0.0056768173168067065 0.0005306117281642664 0.0005171085635519286 7.289981231615925e-05
1.0252 0 0 0 0 0.9595297588813584 9.422 30.2 A2744 0.1618003106256537 0.05265537930678478 0.02851329104166093 0.0014124002830818035 7.249074079504767e-05 0.0011974786838457189 0.01111720228500901 0.00026658443720584054 0.0003866995847517607 5.308067883575078e-05 0.036279577003659996 0.003621410702818161 0.006032027680936346 0.008064185458429388 0.007589882175537268 0.005749131188573632 0.0008476827309258214 0.041932535859503225 0.04390840888426902 0.0036395222899494994 0.00611749491289384 0.008430668798122543 0.00836315760243715 0.005807748335025798 0.000851803089137117 0.041932535859503225 0.013013285350027883 0.005502752804060709 0.00034906154231872303 1.7915409738190043e-05 0.0002959456758001597 0.002145498250544282 6.588385454454764e-05 9.556919173998879e-05 1.3118394157571008e-05 0.001511881748396668 0.010851553280959214 0.002083561075922375 0.0008994739515777645 0.008092520044252895 0.0020668763142637995 0.0014353307737943052 0.0002105151801564981 0.0014907593200297609 0.008966158712412953 0.0019929881403886324 0.0008949978419269576 0.008092520044252895 0.0018757685126129212 0.001420844093359584 0.00020949687209654628
1.0252 0 0 0 0 0.9595297588813584 3.969 30.1 A2744 0.1618003106256537 0.05265537930678478 0.02851329104166093 0.0002073393743894337 0.0 0.0005399966225154521 0.0016461623256974756 3.580885913718495e-05 6.464590433904438e-05 1.2338984078239313e-05 0.02459680579786202 0.00326602699873369 0.005318941026074147 0.004381812065171514 0.006273454457864863 0.005311208154352582 0.0006923641522159112 0.041932535859503225 0.04020301320854801 0.0036353045720729335 0.006100321276161 0.00843682643398446 0.008148243451085679 0.005807748335025798 0.0008484987960681076 0.041932535859503225 0.013013285350027883 0.005502752804060709 5.124199044328788e-05 0.0 0.0001334551232819513 0.0003176912949275329 8.849825186827528e-06 1.597663165567952e-05 3.0494647052877455e-06 0.001507637444429165 0.009935799337150782 0.002085082878131525 0.0008984315819855927 0.008092520044252895 0.002013762288420377 0.0014353307737943052 0.00020969855497682542 0.001314526611402725 0.00607887089145999 0.0010829239387308807 0.0008071680776961036 0.008092520044252895 0.001550425693734973 0.0013126155043589115 0.0001711113355849445
3.784 51931335.82342841 4032217.6747758314 2.1258693028151265 0.20801082667616738 0.676319039135161 66.946524 34.1 A2744 0.09784742006515382 0.01934541065561765 0.010398442200231534 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.002672264723841289 0.0004689784614035627 0.0006389967787668943 8.05833666426441e-05 5.0562262199529234e-05 8.120272062664531e-05 2.8534227874277504e-05 0.0 0.005757675414388225 0.0005633212471603015 0.0009481667073899357 0.001205032016463793 0.001233709975578898 0.0008594276136579242 0.00012650446633930882 0.006473643954702063 0.004079693672716653 0.0015165429503527735 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.00019995593713054727 0.0012142183164674674 0.0002541254657502314 0.00011879707123608541 0.0009441374884382838 0.0002601732716320025 0.00018124202478896724 2.6678134679193614e-05 0.00013475604946461077 0.0005635456222540003 1.699397634253554e-05 9.890141365765798e-05 0.0 1.0662918706962636e-05 1.71245899839145e-05 6.017494846031655e-06
3.784 101694370.31202562 9043670.325841304 4.039974311904497 0.4084460333277577 0.6607345806799086 30.986661 34.2 A2744 0.09784742006515382 0.01934541065561765 0.010398442200231534 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0011840085363814556 0.0003838736127065218 0.00039435384180279187 1.5568699490100598e-05 5.196436152993979e-06 2.427707151216254e-05 1.2895239614294824e-05 0.0 0.004494118581163814 0.000549037825862392 0.000918932045183562 0.0009228560028495425 0.0010477481020375946 0.0007304511648293438 0.00010952372806161664 0.006473643954702063 0.004079693672716653 0.0015165429503527735 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.00019379072985991648 0.000947750733566786 0.00019461824112586426 0.00011578488480431758 0.000944137488438284 0.0002209563486956738 0.00015404258138699295 2.3097119432590858e-05 8.316405900368764e-05 0.00024969188921896817 3.2832347647138888e-06 8.095391598352598e-05 0.0 1.0958603087543887e-06 5.119716340138711e-06 2.7194371005676676e-06
3.784 321880143.1246966 16439876.328552986 15.579269805023594 1.6575026650371036 0.6739136398049604 4.2950086 34.3 A2744 0.09784742006515382 0.01934541065561765 0.010398442200231534 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.692823088874235e-05 2.4736376325261947e-06 0.0 0.0 0.0 2.5134604542411575e-06 0.0 0.0005804093528240785 0.00034753800074347065 0.00039557712159700166 6.521944740560981e-05 0.00018920211157401898 0.00016822351593667422 3.333493668437423e-05 0.005575506075036711 0.004079693672716653 0.0015165429503527735 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.342203268670947e-05 0.00012240072885784698 1.375392705046962e-05 7.329121143520455e-05 0.0008131501113270327 3.990024668868995e-05 3.547613569886697e-05 7.029901442395085e-06 5.216577708098651e-07 0.0 0.0 1.8332025091143335e-05 0.0 0.0 0.0 5.300558822106731e-07
